Tue Nov 28 10:55:39 2023,ascendex,USDT,ETH,BTC,2022.23,2.62,0.054118,0.123,37072.2,0.214,99.2109364216731
Tue Nov 28 10:55:42 2023,binance,USDT,BNB,BTC,227.8,314.606,0.006139,34.061,37092.58,0.0158,99.9610836786655
Tue Nov 28 10:55:43 2023,bequant,USDT,TRX,BTC,0.1019645,26642.0,2.746e-06,3856.0,37092.29,0.00021,99.8930297701651
Tue Nov 28 10:55:51 2023,bitfinex,USDT,EOS,BTC,0.67371,217.30543138,1.813e-05,1446.28912199,37095.0,0.01124992,99.82519926971545
Tue Nov 28 10:55:54 2023,bequant,USDT,SNX,BTC,3.25033,2.52,8.759e-05,2.42,37095.94,0.01021,99.9662614134565
Tue Nov 28 10:55:55 2023,bitforex,USDT,MOVO,BTC,0.230003,2500.0,1.2345e-06,22.0,37094.47,0.0016,19.909793878775492
Tue Nov 28 10:55:55 2023,bitmex,USDT,ETH,BTC,2020.8,0.17,0.0543707,0.19,37068.5,0.0262,99.73477300821457
Tue Nov 28 10:56:05 2023,bequant,USDT,SNX,BTC,3.25133,2.52,8.759e-05,2.42,37095.94,0.01041,99.93551514610945
Tue Nov 28 10:56:05 2023,bitrue,USDT,ELF,BTC,0.4249,1839.0,1.142e-05,153.0,37094.47,41.2026,99.69848138385504
Tue Nov 28 10:56:11 2023,ascendex,USDT,ASD,BTC,0.04729,10800.0,1.23e-06,5421.0,37091.01,0.214,96.47270522309158
Tue Nov 28 10:56:43 2023,bitmex,USDT,ETH,BTC,2020.2,0.17,0.0543707,0.19,37061.0,0.0001,99.74420912285913
Tue Nov 28 10:56:49 2023,bitcoincom,USDT,XDC,BTC,0.053703,9155.7,1.2668e-06,2294.2,37088.63,0.02,87.48836467981305
Tue Nov 28 10:56:59 2023,bequant,USDT,XLM,BTC,0.116753,68.6,3.145e-06,7003.5,37088.63,0.02,99.90641897852731
Tue Nov 28 10:57:00 2023,bitrue,USDT,ETC,BTC,18.64,2.58,0.000497,276.67,37088.31,40.8558,98.88889522532189
Tue Nov 28 10:57:04 2023,bitcoincom,USDT,SNT,BTC,0.0402098,1209.0,1.0771e-06,1217.0,37088.63,0.02,99.34932124258266
Tue Nov 28 10:57:10 2023,bequant,USDT,LTC,BTC,68.9635,0.12,0.0018588,80.797,37088.63,0.02,99.96642491172867
Tue Nov 28 10:57:14 2023,binance,USDT,BNB,BTC,227.7,298.519,0.006139,23.727,37088.31,7.42433,99.99347171277998
Tue Nov 28 10:57:15 2023,bitmex,USDT,ETH,BTC,2019.55,0.17,0.0543707,0.19,37061.0,0.0001,99.7763121834072
Tue Nov 28 10:57:16 2023,bitrue,USDT,QKC,BTC,0.010888,43200.0,2.9e-07,3456794.0,37088.31,21.2712,98.78407329169727
Tue Nov 28 10:57:17 2023,bitfinex,USDT,ALGO,BTC,0.13158,1619.85219,3.54e-06,27284.03553051,37085.0,0.01573609,99.77268581851345
Tue Nov 28 10:57:19 2023,bitcoincom,USDT,SNT,BTC,0.0402098,1209.0,1.0771e-06,1217.0,37088.63,0.02,99.34932124258266
Tue Nov 28 10:57:30 2023,bitcoincom,USDT,SUSHI,BTC,1.243139,6.5,3.3476e-05,6.8,37098.0,0.03021,99.8997415413723
Tue Nov 28 10:57:33 2023,bitmex,USDT,ETH,BTC,2020.25,0.17,0.0543707,0.19,37093.5,0.2703,99.82920729860164
Tue Nov 28 10:57:35 2023,bitrue,USDT,ICX,BTC,0.2439,195.06,6.5e-06,66.97,37098.59,51.749,98.86873103731035
Tue Nov 28 10:57:40 2023,bequant,USDT,MANA,BTC,0.4317432,18.0,1.16288e-05,18.0,37098.0,0.03021,99.921717910091
Tue Nov 28 10:57:45 2023,bitcoincom,USDT,SUSHI,BTC,1.243263,6.5,3.3446e-05,6.8,37098.0,0.03021,99.80026012195327
Tue Nov 28 10:57:52 2023,ascendex,USDT,TRX,BTC,0.10181,12936.0,2.712e-06,65.0,37067.2,0.431,98.73906924663588
Tue Nov 28 10:57:53 2023,bequant,USDT,MANA,BTC,0.4317432,18.0,1.16288e-05,18.0,37098.01,0.02,99.9217448446206
Tue Nov 28 10:57:54 2023,bitmex,USDT,ETH,BTC,2020.25,0.17,0.0543707,0.19,37063.0,0.1035,99.74712308377676
Tue Nov 28 10:57:55 2023,bitrue,USDT,LRC,BTC,0.2111,180139.0,5.67e-06,1352.0,37098.65,51.4226,99.64440810042633
Tue Nov 28 10:57:59 2023,binance,USDT,BNB,BTC,227.8,271.343,0.006139,30.595,37098.65,15.90763,99.9774417690957
Tue Nov 28 10:58:01 2023,bitfinex,USDT,AMPL,BTC,1.1378,87.89,3.063e-05,2.0,37096.0,0.01098538,99.86381437862542
Tue Nov 28 10:58:04 2023,bitcoincom,USDT,BNT,BTC,0.735045,4399.3,1.97e-05,486.8,37098.01,0.02,99.42667414920176
